@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R3-25,27-76,78-87,89-96,98-151,153-162,164-167,169-186'

@attribute color_bgr_b_mean numeric
@attribute color_bgr_g_mean numeric
@attribute color_lab_a_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_b_contrast numeric
@attribute haralick_luv_uv_contrast numeric
@attribute lbph_bgr_g_entropy numeric
@attribute lbph_bgr_r_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.548996,-0.631967,0.311161,-0.988685,-0.453815,-0.992742,-0.919687,0.513487,0.225643,NON_ULCER
-0.079231,-0.081218,0.075132,-0.932882,-0.365462,-0.003323,-0.154752,0.56032,0.38057,NON_ULCER
-0.547063,-0.616461,0.398677,-0.990059,-0.502008,-0.995485,-0.950624,0.533315,0.39667,NON_ULCER
-0.401856,-0.478141,0.516439,-0.975666,-0.477912,-0.97943,-0.925408,0.638486,0.258614,NON_ULCER
-0.287663,-0.314631,0.347255,-0.99439,-0.461847,-0.985415,-0.920699,0.782974,0.301768,NON_ULCER
-0.324474,-0.352716,0.40941,-0.995137,-0.485944,-0.985376,-0.950888,0.719707,0.207204,NON_ULCER
-0.517666,-0.573893,0.475395,-0.994092,-0.51004,-0.993749,-0.973244,0.637726,0.03872,NON_ULCER
-0.520558,-0.575654,0.488111,-0.989723,-0.518072,-0.996029,-0.961846,0.534568,0.037153,NON_ULCER
0.97946,0.985519,-0.526977,-0.998404,-0.349398,-0.813873,-0.763505,0.554438,0.405637,NON_ULCER
0.26475,0.215499,-0.472065,-0.998342,-0.333333,-0.637527,-0.974388,0.621673,-0.162813,NON_ULCER
-0.3426,-0.461463,0.347531,-0.995003,-0.421687,-0.985628,-0.928312,0.797313,0.168888,NON_ULCER
-0.400783,-0.518877,0.356185,-0.99305,-0.429719,-0.990792,-0.969591,0.660352,0.142192,NON_ULCER
-0.469336,-0.547613,0.423601,-0.988279,-0.477912,-0.991287,-0.954364,0.673938,-0.039443,NON_ULCER
-0.426041,-0.502067,0.330868,-0.986647,-0.445783,-0.989017,-0.952208,0.671091,0.087098,NON_ULCER
0.747664,0.686965,-0.429682,-0.996601,-0.333333,-0.770722,-0.823223,0.708384,0.276703,NON_ULCER
-0.392381,-0.484413,0.383707,-0.98877,-0.429719,-0.979119,-0.935661,0.697947,0.174491,NON_ULCER
-0.408082,-0.507419,0.37265,-0.995288,-0.453815,-0.991412,-0.956389,0.778009,0.068046,NON_ULCER
-0.473332,-0.550938,0.391031,-0.979488,-0.46988,-0.990493,-0.940062,0.687874,0.096276,NON_ULCER
-0.311541,-0.366745,0.28392,-0.907587,-0.39759,-0.680943,-0.561643,0.267962,0.201384,NON_ULCER
-0.477738,-0.561923,0.423727,-0.994975,-0.46988,-0.992319,-0.946619,0.676104,0.224718,NON_ULCER
-0.427593,-0.516346,0.426704,-0.99696,-0.461847,-0.994255,-0.952428,0.606381,-0.102074,NON_ULCER
0.740256,0.670006,-0.410597,-0.99702,-0.333333,-0.744416,-0.758708,0.65931,0.532964,NON_ULCER
-0.484469,-0.530233,0.435946,-0.992593,-0.51004,-0.980761,-0.964398,0.750635,0.235517,NON_ULCER
-0.421057,-0.507328,0.388834,-0.989348,-0.461847,-0.996706,-0.957225,0.299857,0.296879,NON_ULCER
-0.482928,-0.562958,0.37244,-0.976829,-0.461847,-0.992622,-0.933285,0.68939,0.089232,NON_ULCER
-0.718429,-0.696062,0.389737,-0.861529,-0.646586,-0.915053,-0.926288,0.75765,0.117849,ULCER
-0.181437,0.019655,-0.271158,-0.973107,-0.493976,-0.907864,-0.837965,0.635535,0.101743,ULCER
-0.210504,-0.042198,-0.194882,-0.991804,-0.485944,-0.984438,-0.931965,0.586571,0.174499,ULCER
-0.560913,-0.550658,0.386147,-0.969685,-0.558233,-0.931145,-0.892798,0.748054,0.122283,ULCER
-0.415718,-0.389018,0.177611,-0.965693,-0.502008,-0.930181,-0.943363,0.689381,0.079429,ULCER
-0.603764,-0.585649,0.304476,-0.942461,-0.534137,-0.95128,-0.928928,0.798165,0.202709,ULCER
-0.552124,-0.556366,0.352802,-0.947171,-0.542169,-0.918922,-0.869914,0.723206,0.355004,ULCER
-0.406514,-0.38541,0.251028,-0.970592,-0.51004,-0.844768,-0.97364,0.447387,-0.187201,ULCER
-0.645132,-0.621882,0.352984,-0.885661,-0.566265,-0.886127,-0.835413,0.821324,0.397587,ULCER
-0.27947,-0.099278,-0.138062,-0.982865,-0.502008,-0.909772,-0.863049,0.737844,0.247999,ULCER
-0.5858,-0.541345,0.320993,-0.917063,-0.574297,-0.79416,-0.859485,0.762645,0.249883,ULCER
-0.275223,-0.23775,0.205434,-0.990219,-0.477912,-0.920495,-0.983893,0.495251,-0.441711,ULCER
-0.160894,0.015629,-0.229883,-0.978584,-0.485944,-0.877484,-0.842718,0.609148,0.350916,ULCER
-0.202823,-0.161975,0.224835,-0.978188,-0.502008,-0.800818,-0.979757,0.495174,-0.505424,ULCER
-0.621387,-0.627598,0.375893,-0.9693,-0.558233,-0.984708,-0.939446,0.701468,0.089823,ULCER
-0.298056,-0.255476,0.304522,-0.967778,-0.502008,-0.794694,-0.969371,0.548633,-0.389487,ULCER
-0.630994,-0.621593,0.278587,-0.938659,-0.558233,-0.954357,-0.930821,0.513936,0.217125,ULCER
-0.528134,-0.511013,0.325436,-0.907947,-0.518072,-0.744461,-0.86921,0.744623,0.457405,ULCER
0.071708,0.280937,-0.382796,-0.999354,-0.453815,-0.997899,-0.966422,0.47114,-0.497687,NON_ULCER
0.048481,0.24272,-0.310235,-0.999202,-0.461847,-0.996979,-0.974696,0.637829,-0.100935,NON_ULCER
0.082217,0.298172,-0.317131,-0.997005,-0.461847,-0.993363,-0.956389,0.598733,0.145166,NON_ULCER
-0.280579,-0.34474,0.24223,-0.977047,-0.437751,-0.953254,-0.926552,0.601239,0.214537,NON_ULCER
-0.610889,-0.575357,-0.008604,-0.795458,-0.485944,-0.899644,-0.949172,0.241962,-0.269966,NON_ULCER
-0.292679,-0.276907,0.230835,-0.973037,-0.477912,-0.935553,-0.887473,0.494444,-0.044401,NON_ULCER
-0.335609,-0.3244,0.282947,-0.990164,-0.477912,-0.984273,-0.918454,0.652291,0.170414,NON_ULCER
-0.016242,0.157349,-0.135193,-0.988209,-0.46988,-0.983308,-0.913394,0.486183,0.449952,NON_ULCER
-0.47895,-0.479093,0.369012,-0.987142,-0.493976,-0.989275,-0.917926,0.683375,0.231263,NON_ULCER
0.053577,0.259821,-0.338264,-0.999837,-0.461847,-0.995285,-0.965058,0.695455,-0.049795,NON_ULCER
-0.46344,-0.500664,0.363822,-0.982279,-0.485944,-0.984896,-0.926728,0.690128,0.201492,NON_ULCER
-0.213139,-0.08568,0.037072,-0.979515,-0.493976,-0.966326,-0.902348,0.426078,0.497321,NON_ULCER
-0.28862,-0.323137,0.197798,-0.982522,-0.437751,-0.928,-0.916166,0.70441,0.237016,NON_ULCER
-0.192542,-0.214562,0.248927,-0.984506,-0.445783,-0.930872,-0.946663,0.555668,0.102976,NON_ULCER
-0.024719,0.160078,-0.204048,-0.993752,-0.46988,-0.991377,-0.94904,0.492959,0.3321,NON_ULCER
-0.42047,-0.382206,0.307647,-0.951112,-0.51004,-0.988265,-0.918014,0.02798,0.528591,NON_ULCER
-0.451735,-0.504243,0.376908,-0.973382,-0.485944,-0.983393,-0.921931,0.704217,0.127453,NON_ULCER
-0.394739,-0.333201,0.355928,-0.9912,-0.526104,-0.988157,-0.930072,0.6454,0.225207,NON_ULCER
-0.569989,-0.524512,0.429757,-0.91719,-0.582329,-0.809529,-0.92708,0.726146,0.037183,ULCER
-0.503876,-0.445567,0.400064,-0.96563,-0.485944,-0.825575,-0.918674,0.632177,0.550304,ULCER
-0.397451,-0.367205,0.262149,-0.952793,-0.461847,-0.693108,-0.93751,0.677298,-0.080348,ULCER
-0.422048,-0.404434,0.234939,-0.91911,-0.502008,-0.648439,-0.90138,0.621217,-0.257064,ULCER
-0.509326,-0.505736,0.29803,-0.786676,-0.558233,-0.740411,-0.859661,0.740902,0.257107,ULCER
-0.570827,-0.538659,0.485587,-0.976867,-0.582329,-0.934045,-0.937466,0.747568,0.06418,ULCER
-0.57992,-0.576882,0.394118,-0.949211,-0.558233,-0.832875,-0.887165,0.865194,0.559748,ULCER
-0.557426,-0.512613,0.303319,-0.976396,-0.542169,-0.961095,-0.916782,0.705318,0.099616,ULCER
-0.228802,-0.217232,0.257862,-0.982249,-0.46988,-0.833051,-0.963738,0.596206,-0.340985,ULCER
-0.644241,-0.610896,0.378676,-0.974585,-0.582329,-0.947522,-0.905076,0.768091,0.181446,ULCER
-0.566016,-0.514272,0.370795,-0.970751,-0.558233,-0.972067,-0.897727,0.637013,0.397324,ULCER
-0.593621,-0.584902,0.332935,-0.875306,-0.485944,-0.792712,-0.866702,0.799219,0.293234,ULCER
-0.355446,-0.323265,0.275837,-0.963529,-0.502008,-0.816633,-0.921535,0.651092,-0.110405,ULCER
-0.321181,-0.299066,0.292734,-0.934967,-0.46988,-0.681995,-0.911633,0.69246,-0.05588,ULCER
-0.564935,-0.565422,0.362555,-0.923413,-0.534137,-0.751288,-0.867934,0.884752,0.512312,ULCER
