@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R2-37,39-55,57-72,75-76,79-85,87,89-106,108-186'

@attribute color_bgr_b_mean numeric
@attribute color_lab_a_intensity1 numeric
@attribute color_luv_u_centroid numeric
@attribute color_norm_b_mean numeric
@attribute color_norm_g_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_g_intensity1 numeric
@attribute color_norm_b_intensity2 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.466179,-0.047619,-0.128205,-0.08396,0.534458,-0.997751,-0.99881,0.557895,-0.501976,-0.984138,NON_ULCER
-0.443534,0.238095,-0.051282,-0.051823,0.416833,-0.96523,-0.993732,0.452632,-0.486166,-0.967493,NON_ULCER
-0.552443,-0.015873,-0.128205,-0.105554,0.490037,-0.990553,-0.997209,0.515789,-0.509881,-0.9785,NON_ULCER
-0.440541,0.269841,0.076923,-0.044497,0.309357,-0.982392,-0.986583,0.326316,-0.470356,-0.969295,NON_ULCER
-0.639287,-0.047619,-0.205128,-0.143254,0.492646,-0.991418,-0.992861,0.515789,-0.525692,-0.950755,NON_ULCER
0.179925,-0.079365,-0.153846,0.126842,0.588879,-0.995677,-0.998166,0.6,-0.407115,-0.885042,NON_ULCER
-0.449334,0.079365,0,-0.073511,0.350952,-0.951058,-0.986632,0.242105,-0.494071,-0.954971,NON_ULCER
0.049465,0.015873,-0.102564,0.088795,0.546342,-0.99382,-0.995998,0.578947,-0.422925,-0.844421,NON_ULCER
0.023712,-0.079365,-0.153846,0.0874,0.578079,-0.994426,-0.99864,0.6,-0.422925,-0.930534,NON_ULCER
0.165139,0.047619,-0.076923,0.184662,0.492425,-0.989146,-0.990585,0.515789,-0.375494,-0.853427,NON_ULCER
-0.786396,-0.174603,-0.358974,-0.190591,0.434692,-0.952914,-0.934653,0.410526,-0.581028,-0.942567,NON_ULCER
-0.370443,0.047619,-0.051282,-0.046728,0.483212,-0.983892,-0.998716,0.536842,-0.494071,-0.98205,NON_ULCER
0.087599,-0.079365,-0.179487,0.088561,0.589094,-0.993065,-0.994454,0.621053,-0.422925,-0.876627,NON_ULCER
-0.088084,-0.111111,-0.025641,0.122443,0.459664,-0.986826,-0.989175,0.494737,-0.43083,-0.953155,NON_ULCER
