@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-8,10-40,42-50,52-76,79-84,86-106,108-119,121-125,127-145,148-158,160-186'

@attribute color_bgr_r_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_v_mean numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_bgr_r_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_luv_u_correlation numeric
@attribute haralick_bgr_gr_correlation numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_entropy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.069959,0.787879,0.302361,-0.866511,-0.9245,-0.484848,-0.829085,-0.184511,-0.535355,-0.706279,-0.749817,0.801378,ULCER
0.004115,0.636364,0.242676,-0.952292,-0.965262,-0.454545,-0.976083,0.080109,-0.480885,-0.692889,-0.91913,0.738379,ULCER
-0.209877,0.484848,0.180426,-0.904242,-0.929896,-0.469697,-0.944615,-0.038631,-0.469743,-0.714681,-0.80601,0.671564,ULCER
-0.325103,0.454545,0.114708,-0.71483,-0.825187,-0.530303,-0.891411,-0.362427,-0.626995,-0.830248,-0.656161,0.703091,ULCER
0.037037,0.787879,0.298837,-0.829741,-0.893111,-0.530303,-0.911702,-0.08192,-0.437944,-0.66847,-0.749817,0.74067,ULCER
-0.259259,0.545455,0.134743,-0.852272,-0.906826,-0.454545,-0.940938,-0.761339,-0.858965,-0.931986,-0.724122,0.622414,ULCER
0.135802,0.787879,0.306631,-0.949363,-0.969738,-0.545455,-0.931519,-0.021488,-0.385099,-0.619595,-0.759467,0.786672,ULCER
0.028807,0.787879,0.30832,-0.950289,-0.97032,-0.484848,-0.956757,0.018423,-0.412821,-0.656724,-0.888672,0.804944,ULCER
0.004115,0.757576,0.290953,-0.91644,-0.945041,-0.560606,-0.983211,0.072671,-0.386028,-0.650308,-0.883256,0.74935,ULCER
0.127572,-0.030303,0.28018,-0.996789,-0.998383,-0.030303,-0.988066,0.158242,-0.618199,-0.602472,-0.960827,0.629729,NON_ULCER
0.045267,0,0.254445,-0.994049,-0.998146,-0.030303,-0.990089,0.205545,-0.571266,-0.56546,-0.950729,0.577675,NON_ULCER
-0.020576,0.090909,0.124173,-0.98327,-0.996254,-0.015152,-0.930727,0.02477,-0.550111,-0.624515,-0.868597,0.794243,NON_ULCER
0.144033,0.333333,0.116279,-0.984531,-0.994642,0,-0.939873,-0.558064,-0.85329,-0.849428,-0.927356,0.614712,NON_ULCER
-0.078189,-0.060606,0.193931,-0.989279,-0.990502,-0.060606,-0.958468,-0.051228,-0.664448,-0.723104,-0.937861,0.623224,NON_ULCER
-0.09465,-0.060606,0.183367,-0.987733,-0.988645,-0.257576,-0.96217,0.036682,-0.596653,-0.686768,-0.915343,0.583381,NON_ULCER
-0.053498,0,0.178671,-0.984868,-0.991871,-0.212121,-0.972984,0.122039,-0.56484,-0.643473,-0.916565,0.695935,NON_ULCER
-0.053498,0.242424,0.148561,-0.970464,-0.99184,-0.030303,-0.981207,-0.192328,-0.706633,-0.744027,-0.909683,0.755699,NON_ULCER
0.481481,-0.060606,0.13272,-0.994174,-0.997673,0.121212,-0.907004,0.088089,-0.57389,-0.338809,-0.854182,0.784976,NON_ULCER
0.432099,0,0.132248,-0.993455,-0.995669,0.121212,-0.865634,-0.174021,-0.696322,-0.559474,-0.900521,0.884941,NON_ULCER
0.489712,-0.151515,0.17141,-0.994376,-0.996632,0.121212,-0.929574,0.065046,-0.586283,-0.331413,-0.872954,0.860158,NON_ULCER
0.473251,-0.121212,0.193152,-0.997883,-0.998671,0.121212,-0.93389,0.058139,-0.552299,-0.300823,-0.887369,0.836509,NON_ULCER
0.119342,0.181818,0.085925,-0.943589,-0.978225,0.090909,-0.895099,0.076938,-0.562663,-0.513709,-0.866764,0.788675,NON_ULCER
0.053498,0.272727,0.102498,-0.984276,-0.986689,0.015152,-0.978708,-0.498181,-0.834122,-0.859029,-0.947593,0.656744,NON_ULCER
0.045267,0.212121,0.029912,-0.985834,-0.997691,0.075758,-0.988417,-0.546276,-0.86409,-0.861647,-0.956837,0.42936,NON_ULCER
0.201646,0.151515,0.256899,-0.981084,-0.993754,-0.030303,-0.975714,-0.015377,-0.591336,-0.582831,-0.916483,0.795698,NON_ULCER
-0.893004,-0.212121,-0.052171,-0.897711,-0.952722,-0.090909,-0.925633,-0.420043,-0.78729,-0.942556,-0.728805,0.460051,NON_ULCER
0.144033,0.181818,0.131453,-0.996238,-0.997661,0.015152,-0.977833,0.065223,-0.548499,-0.54243,-0.91347,0.791768,NON_ULCER
-0.769547,-0.30303,-0.028224,-0.930896,-0.911802,-0.106061,-0.934655,-0.353589,-0.754269,-0.919873,-0.809024,0.666521,NON_ULCER
-0.530864,-0.121212,0.037394,-0.795379,-0.826009,-0.272727,-0.942623,-0.356964,-0.74637,-0.899223,-0.838627,0.740611,NON_ULCER
-0.127572,-0.060606,0.205905,-0.979456,-0.980253,-0.121212,-0.958687,0.045367,-0.60637,-0.700019,-0.903453,0.609641,NON_ULCER
-0.020576,0.212121,0.182282,-0.97485,-0.996651,-0.045455,-0.977042,-0.065851,-0.623235,-0.669233,-0.886554,0.762697,NON_ULCER
0.135802,0,0.249548,-0.984956,-0.997633,-0.030303,-0.986033,0.16617,-0.554676,-0.521876,-0.92536,0.775453,NON_ULCER
0.242798,0,0.216424,-0.987876,-0.994448,0.030303,-0.971684,0.044729,-0.548628,-0.454962,-0.895961,0.839682,NON_ULCER
0.45679,-0.090909,-0.009387,-0.990592,-0.99562,0.19697,-0.844533,0.045843,-0.59952,-0.343127,-0.853653,0.806248,NON_ULCER
0.341564,0.030303,0.006478,-0.989759,-0.997029,0.136364,-0.914719,-0.13861,-0.659165,-0.559865,-0.879265,0.851425,NON_ULCER
0.111111,0.030303,0.044744,-0.992659,-0.99703,0.090909,-0.94099,0.009111,-0.647981,-0.586155,-0.943481,0.652547,NON_ULCER
0.341564,0.030303,0.148897,-0.99665,-0.997944,0.090909,-0.916477,-0.076773,-0.661457,-0.546434,-0.898974,0.817006,NON_ULCER
0.44856,-0.090909,0.187518,-0.994732,-0.997918,0.121212,-0.918582,0.027345,-0.5728,-0.351774,-0.850761,0.767433,NON_ULCER
0.185185,0.242424,0.069677,-0.99067,-0.993639,0.045455,-0.9745,-0.48532,-0.812435,-0.815297,-0.925849,0.519523,NON_ULCER
0.069959,0.393939,0.135174,-0.973138,-0.991069,-0.060606,-0.970096,-0.44621,-0.778791,-0.819934,-0.926338,0.631847,NON_ULCER
0.226337,0,0.229949,-0.979304,-0.995173,0,-0.976637,0.058352,-0.594886,-0.550559,-0.907647,0.738987,NON_ULCER
-0.423868,-0.151515,0.096429,-0.993546,-0.993003,-0.090909,-0.977601,-0.001547,-0.644971,-0.781672,-0.929432,0.653283,NON_ULCER
-0.514403,-0.212121,0.023729,-0.981863,-0.986778,-0.121212,-0.987784,-0.276907,-0.771865,-0.900326,-0.917257,0.65364,NON_ULCER
-0.506173,-0.181818,0.074802,-0.968204,-0.960475,-0.409091,-0.978018,-0.357615,-0.792201,-0.904603,-0.917054,0.80787,NON_ULCER
-0.382716,-0.090909,0.175802,-0.993847,-0.988707,-0.151515,-0.964411,0.023998,-0.624473,-0.745538,-0.914162,0.645498,NON_ULCER
-0.053498,-0.030303,0.254701,-0.996411,-0.996428,-0.090909,-0.968755,0.120365,-0.584696,-0.643447,-0.931957,0.794909,NON_ULCER
0.037037,0,0.258299,-0.996869,-0.998718,-0.045455,-0.982605,0.249853,-0.555654,-0.558364,-0.956267,0.730664,NON_ULCER
0.201646,0,0.262156,-0.997238,-0.998929,-0.015152,-0.977718,0.184404,-0.560618,-0.507417,-0.93835,0.831391,NON_ULCER
0.366255,0.181818,0.017566,-0.980618,-0.99141,0.121212,-0.813176,-0.182203,-0.631697,-0.525862,-0.753726,0.712532,NON_ULCER
0.432099,-0.121212,0.004201,-0.993498,-0.996108,0.181818,-0.896747,0.220745,-0.500209,-0.206287,-0.814439,0.700042,NON_ULCER
0.061728,0,-0.084251,-0.978979,-0.983674,0.106061,-0.928598,-0.117998,-0.657026,-0.593123,-0.855811,0.478549,NON_ULCER
0.078189,0.060606,0.062205,-0.993774,-0.997781,0.075758,-0.962515,0.039589,-0.650106,-0.619116,-0.951299,0.757565,NON_ULCER
0.333333,0.030303,0.063361,-0.988683,-0.993119,0.090909,-0.942779,-0.082323,-0.660025,-0.5813,-0.905041,0.683805,NON_ULCER
0.45679,-0.030303,0.114026,-0.992748,-0.996552,0.121212,-0.942803,-0.076862,-0.676804,-0.536571,-0.879591,0.821275,NON_ULCER
0.209877,0.212121,0.089161,-0.968641,-0.989075,0.075758,-0.898669,0.075203,-0.463322,-0.366788,-0.768507,0.79955,NON_ULCER
0.102881,0.393939,0.192674,-0.967338,-0.978929,-0.090909,-0.967269,-0.518337,-0.811998,-0.841558,-0.921166,0.710075,NON_ULCER
0.209877,0.030303,0.17431,-0.98013,-0.998422,0.030303,-0.977617,0.161413,-0.554401,-0.518331,-0.930002,0.831073,NON_ULCER
0.333333,0.121212,0.033079,-0.973523,-0.988323,0.090909,-0.925647,0.164248,-0.507929,-0.396213,-0.858295,0.73486,NON_ULCER
